Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,960.033333333333,1,0,0,44
5.03333333333333,960.033333333333,1,0,0.02,44
10.0333333333333,960.033333333333,1,0,0,44
15.0333333333333,960.033333333333,1,0,0.08,44
20.05,960.033333333333,1,0,0.02,44
25.05,960.033333333333,1,0,0.09,44
30.0333333333333,960.033333333333,1,0,0.05,44
35.0333333333333,960.033333333333,1,0,0.05,43
40.0333333333333,960.033333333333,1,0,0.09,43
45.05,960.033333333333,1,0,0.09,42
50.05,960.033333333333,1,0,0.14,41
55.0333333333333,960.033333333333,1,0,0.06,38
60.0333333333333,960.033333333333,1,0,0.13,36
65.05,960.033333333333,1,0,0.11,36
70.05,960.033333333333,1,0,0.15,32
75.0333333333333,960.033333333333,1,0,0.14,30
80.05,960.033333333333,1,0,0.15,26
85.0666666666667,960.033333333333,1,0,0.18,23
90.05,960.033333333333,1,0,0.17,15
95.0333333333333,960.033333333333,1,0,0.2,18
100.05,960.033333333333,1,0,0.2,12
105.05,960.033333333333,1,0,0.2,14
110.05,960.033333333333,1,0,0.26,23
115.05,960.033333333333,1,0,0.27,25
120.033333333333,960.033333333333,1,0,0.26,19
125.033333333333,960.033333333333,1,0,0.29,24
130.033333333333,960.033333333333,1,0,0.27,17
135.05,960.033333333333,1,0,0.3,21
140.033333333333,960.033333333333,1,0,0.29,17
145.033333333333,960.033333333333,1,0,0.32,28
150.033333333333,960.033333333333,1,0,0.34,34
155.033333333333,960.033333333333,1,0,0.36,38
160.05,960.033333333333,1,0,0.32,24
165.033333333333,960.033333333333,1,0,0.36,33
170.05,960.033333333333,1,0,0.36,35
175.033333333333,960.033333333333,1,0,0.35,24
180.033333333333,960.033333333333,1,0,0.35,24
185.033333333333,960.033333333333,1,0,0.35,26
190.05,960.033333333333,1,0,0.39,36
195.033333333333,960.033333333333,1,0,0.39,36
200.05,960.033333333333,1,0,0.38,27
205.066666666667,960.033333333333,1,0,0.38,29
210.05,960.033333333333,1,0,0.39,35
215.033333333333,960.033333333333,1,0,0.41,33
220.033333333333,960.033333333333,1,0,0.41,34
225.033333333333,960.033333333333,1,0,0.44,42
230.05,960.033333333333,1,0,0.44,43
235.033333333333,960.033333333333,1,0,0.44,38
240.033333333333,960.033333333333,1,0,0.47,45
245.05,960.033333333333,1,0,0.47,43
250.05,960.033333333333,1,0,0.44,31
255.05,960.033333333333,1,0,0.42,12
260.033333333333,960.033333333333,1,0,0.4,9
265.05,960.033333333333,1,0,0.39,13
270.05,960.033333333333,1,0,0.42,7
275.033333333333,960.033333333333,1,0,0.4,11
280.05,960.033333333333,1,0,0.39,7
285.033333333333,960.033333333333,1,0,0.43,10
290.066666666667,960.033333333333,1,0,0.41,8
295.033333333333,960.033333333333,1,0,0.42,4
300.033333333333,960.033333333333,1,0,0.41,9
305.033333333333,960.033333333333,1,0,0.41,2
310.033333333333,960.033333333333,1,0,0.43,4
315.05,960.033333333333,1,0,0.41,0
320.033333333333,960.033333333333,1,0,0.4,3
325.05,960.033333333333,1,0,0.42,5
330.05,960.033333333333,1,0,0.41,0
335.033333333333,960.033333333333,1,0,0.42,4
340.066666666667,960.033333333333,1,0,0.4,11
345.033333333333,960.033333333333,1,0,0.39,3
350.033333333333,960.033333333333,1,0,0.41,13
355.05,960.033333333333,1,0,0.37,9
360.033333333333,960.033333333333,1,0,0.37,16
365.033333333333,960.033333333333,1,0,0.4,17
370.033333333333,960.033333333333,1,0,0.36,20
375.033333333333,960.033333333333,1,0,0.35,21
380.05,960.033333333333,1,0,0.37,23
385.033333333333,960.033333333333,1,0,0.35,23
390.05,960.033333333333,1,0,0.34,25
395.05,960.033333333333,1,0,0.31,28
400.05,960.033333333333,1,0,0.29,27
405.05,960.033333333333,1,0,0.3,26
410.033333333333,960.033333333333,1,0,0.29,27
415.05,960.033333333333,1,0,0.29,27
420.05,960.033333333333,1,0,0.28,27
425.05,960.033333333333,1,0,0.24,23
430.033333333333,960.033333333333,1,0,0.27,22
435.05,960.033333333333,1,0,0.27,23
440.05,960.033333333333,1,0,0.25,18
445.05,960.033333333333,1,0,0.25,18
450.066666666667,960.033333333333,1,0,0.25,22
455.05,960.033333333333,1,0,0.27,16
460.05,960.033333333333,1,0,0.28,12
465.033333333333,960.033333333333,1,0,0.24,13
470.05,960.033333333333,1,0,0.24,8
475.05,960.033333333333,1,0,0.25,3
480.05,960.033333333333,1,0,0.28,2
485.05,960.033333333333,1,0,0.27,2
490.05,960.033333333333,1,0,0.26,8
495.05,960.033333333333,1,0,0.26,0
500.033333333333,960.033333333333,1,0,0.28,0
505.05,960.033333333333,1,0,0.27,3
510.033333333333,960.033333333333,1,0,0.26,7
515.05,960.033333333333,1,0,0.27,1
520.05,960.033333333333,1,0,0.27,1
525.05,960.033333333333,1,0,0.27,2
530.05,960.033333333333,1,0,0.27,4
535.033333333333,960.033333333333,1,0,0.26,11
540.05,960.033333333333,1,0,0.28,15
545.05,960.033333333333,1,0,0.29,16
550.05,960.033333333333,1,0,0.28,18
555.05,960.033333333333,1,0,0.28,18
560.05,960.033333333333,1,0,0.28,22
565.033333333333,960.033333333333,1,0,0.27,19
570.033333333333,960.033333333333,1,0,0.24,18
575.033333333333,960.033333333333,1,0,0.27,21
580.05,960.033333333333,1,0,0.25,23
585.033333333333,960.033333333333,1,0,0.26,27
590.05,960.033333333333,1,0,0.27,25
595.05,960.033333333333,1,0,0.26,25
600.033333333333,960.033333333333,1,0,0.27,22
605.05,960.033333333333,1,0,0.27,19
610.033333333333,960.033333333333,1,0,0.26,17
615.05,960.033333333333,1,0,0.25,15
620.05,960.033333333333,1,0,0.26,8
625.033333333333,960.033333333333,1,0,0.26,10
630.033333333333,960.033333333333,1,0,0.28,6
635.05,960.033333333333,1,0,0.27,0
640.05,960.033333333333,1,0,0.25,0
645.033333333333,960.033333333333,1,0,0.26,0
650.05,960.033333333333,1,0,0.28,0
655.05,960.033333333333,1,0,0.26,0
660.05,960.033333333333,1,0,0.28,0
665.033333333333,960.033333333333,1,0,0.29,0
670.033333333333,960.033333333333,1,0,0.28,0
675.05,960.033333333333,1,0,0.3,0
680.033333333333,960.033333333333,1,0,0.3,0
685.05,960.033333333333,1,0,0.31,0
690.05,960.033333333333,1,0,0.33,0
695.033333333333,960.033333333333,1,0,0.32,0
700.033333333333,960.033333333333,1,0,0.33,0
705.05,960.033333333333,1,0,0.34,0
710.05,960.033333333333,1,0,0.35,0
715.05,960.033333333333,1,0,0.36,0
720.05,960.033333333333,1,0,0.36,5
725.05,960.033333333333,1,0,0.38,9
730.05,960.033333333333,1,0,0.38,4
735.033333333333,960.033333333333,1,0,0.37,9
740.05,960.033333333333,1,0,0.37,7
745.033333333333,960.033333333333,1,0,0.36,10
750.033333333333,960.033333333333,1,0,0.41,24
755.033333333333,960.033333333333,1,0,0.39,18
760.05,960.033333333333,1,0,0.39,21
765.05,960.033333333333,1,0,0.37,14
770.05,960.033333333333,1,0,0.34,11
775.05,960.033333333333,1,0,0.34,16
780.05,960.033333333333,1,0,0.34,16
785.033333333333,960.033333333333,1,0,0.32,18
790.033333333333,960.033333333333,1,0,0.34,18
795.033333333333,960.033333333333,1,0,0.33,18
800.05,960.033333333333,1,0,0.35,20
805.033333333333,960.033333333333,1,0,0.33,19
810.033333333333,960.033333333333,1,0,0.31,21
815.05,960.033333333333,1,0,0.3,19
820.033333333333,960.033333333333,1,0,0.32,15
825.033333333333,960.033333333333,1,0,0.33,16
830.05,960.033333333333,1,0,0.31,9
835.033333333333,960.033333333333,1,0,0.3,7
840.05,960.033333333333,1,0,0.3,7
845.033333333333,960.033333333333,1,0,0.31,0
850.033333333333,960.033333333333,1,0,0.31,0
855.033333333333,960.033333333333,1,0,0.31,0
860.033333333333,960.033333333333,1,0,0.33,0
865.033333333333,960.033333333333,1,0,0.32,0
870.033333333333,960.033333333333,1,0,0.34,0
875.05,960.033333333333,1,0,0.34,0
880.05,960.033333333333,1,0,0.33,0
885.05,960.033333333333,1,0,0.35,0
890.033333333333,960.033333333333,1,0,0.35,0
895.033333333333,960.033333333333,1,0,0.34,0
900.033333333333,960.033333333333,1,0,0.35,0
905.033333333333,960.033333333333,1,0,0.36,0
910.033333333333,960.033333333333,1,0,0.37,0
915.033333333333,960.033333333333,1,0,0.36,0
920.033333333333,960.033333333333,1,0,0.37,0
925.05,960.033333333333,1,0,0.36,0
930.05,960.033333333333,1,0,0.37,0
935.05,960.033333333333,1,0,0.4,8
940.033333333333,960.033333333333,1,0,0.37,0
945.05,960.033333333333,1,0,0.37,0
950.05,960.033333333333,1,0,0.38,10
955.05,960.033333333333,1,0,0.35,6
